Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,147418,-,-,-,36.65,-121.74,-8,50,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,GHI
2006,1,1,0,30,10.600000000000001,7,0,0
2006,1,1,1,30,10.600000000000001,7,0,0
2006,1,1,2,30,10.5,7,0,0
2006,1,1,3,30,10.5,7,0,0
2006,1,1,4,30,10.8,7,0,0
2006,1,1,5,30,11.4,6,0,0
2006,1,1,6,30,12.100000000000001,6,0,0
2006,1,1,7,30,12.600000000000001,6,0,3
2006,1,1,8,30,13.3,6,0,8
2006,1,1,9,30,13.9,6,0,17
2006,1,1,10,30,14.200000000000001,6,0,19
2006,1,1,11,30,14.3,6,0,30
2006,1,1,12,30,14.5,6,0,65
2006,1,1,13,30,14.9,6,0,49
2006,1,1,14,30,15.3,6,0,28
2006,1,1,15,30,15.4,6,0,9
2006,1,1,16,30,15.200000000000001,6,0,9
2006,1,1,17,30,14.700000000000001,6,0,0
2006,1,1,18,30,13.9,6,0,0
2006,1,1,19,30,13.100000000000001,6,0,0
2006,1,1,20,30,12.600000000000001,6,0,0
2006,1,1,21,30,12.4,6,0,0
2006,1,1,22,30,12.3,7,0,0
2006,1,1,23,30,12.3,7,0,0
2006,1,2,0,30,12.3,7,0,0
2006,1,2,1,30,12.200000000000001,6,0,0
2006,1,2,2,30,12.200000000000001,6,0,0
